symbol-id;symbol-en;symbol-fi;category
268;breakfast_5;aamiainen;Ruoka annokset
269;breakfast_6;aamiainen;Ruoka annokset
270;breakfast_time;aamiaisaika;Kuvaileva aika
271;breakfast_time_1;aamiaisaika;Kuvaileva aika
272;bricks;palikat;Vapaa-aika lelut
273;bridle;suitset;Eläimet eläintenhoito
274;briefcase_1;salkku;Vaatteet tarvikkeet
275;briefcase_2;salkku;Vaatteet tarvikkeet
276;bright;kirkasvalo;Tekniikka muut
277;bright_room;valoisa huone;Kuvaileva tila
278;broad_beans;härkäpavut;Ruoka vihannekset ja salaatit
279;broccoli;parsakaali;Ruoka vihannekset ja salaatit
280;broken;rikki;Kuvaileva tila
281;broken_bone;murtunut luu;Terveys terveydentila
282;brooch;rintaneula;Vaatteet korut
283;broom;luuta;Rakennukset tarvikkeet
284;broomstick;luudanvarsi;Juhlat välineet
285;brother;veli;Ihmiset suhteet
286;brown;ruskea;Taide värit
287;brush_animal_,_to;turkin harjaus;Eläimet eläintenhoito
288;brush_hair_,_to;harjata hiukset;Terveys hoitotoimet
289;brush_teeth_,_to;harjata hampaat;Terveys hoitotoimet
290;brussel_sprouts;ruusukaali;Ruoka vihannekset ja salaatit
291;bubble_bath;kylpyvaahto;Terveys hoitotarvikkeet
292;bubble_gum_-_blow;purukumi;Ruoka jälkiruuat ja herkut
293;bubble_mixture;saippuakuplavesi;Vapaa-aika lelut
294;bubble_wand;saippuakuplalaite;Vapaa-aika lelut
295;bubble_wrap;kuplamuovi;Työ ja koulu
296;bubbles;saippuakuplat;Vapaa-aika lelut
297;bubbles_blow;puhaltaa saippuakuplia;Vapaa-aika lelut
298;bucket;ämpäri;Vapaa-aika lelut
299;buckle;solki;Vaatteet tarvikkeet
300;bud;silmu;Kasvit ja puut
301;budgie;undulaatti;Eläimet linnut
302;buffalo;puhveli;Eläimet nisäkkäät
303;bulb_holder;lampunpidin;Tekniikka muut
304;bulb_holder_2;lampunpidin;Tekniikka muut
305;bumpy;pomppuinen;Kuvaileva muoto
306;bun_-_hot_cross;pulla;Ruoka viljatuotteet ja leivonta
307;bun_currant;rusinapulla;Ruoka viljatuotteet ja leivonta
308;bunk_beds;kerrossänky;Rakennukset huonekalut
309;burn;palaa;Terveys terveydentila
310;bus;bussi;Vapaa-aika lelut
311;bus_double_decker;kaksikerrosbussi;Liikenne tieliikenne
312;bus_single_decker;linja-auto;Liikenne tieliikenne
313;bush;pensas;Kasvit ja puut
314;busy;kiireinen;Ihmiset kuvaileva
